,bin.99,bin.93,bin.69,bin.58,bin.38,bin.35,bin.28,bin.213,bin.206,bin.2,bin.117,bin.197,bin.187,bin.181,bin.16,bin.156,bin.149,bin.142,bin.139,bin.80,bin.71,bin.192,bin.183,bin.61,bin.182,bin.161,bin.108,bin.97,bin.81,bin.68,bin.217,bin.92,bin.90,bin.162,bin.7,bin.214,bin.29,bin.211,bin.204,bin.202,bin.56,bin.44,bin.180,bin.163,bin.42,bin.196,bin.27,bin.23,bin.17,bin.166,bin.146,bin.219,bin.82,bin.64,bin.208,bin.19,bin.76,bin.195,bin.165,bin.60,bin.184,bin.218,bin.55,bin.124,bin.51,bin.116
k141_261477,0.6515151515151515,0.6818181818181818,0.4696969696969697,0.42424242424242425,0.803030303030303,0.6212121212121212,0.5303030303030303,0.7878787878787878,0.7272727272727273,0.5454545454545454,0.5151515151515151,0.696969696969697,0.5606060606060606,0.4393939393939394,0.48484848484848486,0.6363636363636364,0.7727272727272727,0.8181818181818182,0.8636363636363636,0.5,0.9242424242424242,0.8787878787878788,0.8939393939393939,0.3484848484848485,0.6666666666666666,0.7121212121212122,0.9696969696969697,0.5909090909090909,0.8333333333333334,0.16666666666666666,0.22727272727272727,0.7424242424242424,0.6060606060606061,0.7575757575757576,0.13636363636363635,0.045454545454545456,0.21212121212121213,0.0,0.015151515151515152,0.030303030303030304,0.45454545454545453,0.24242424242424243,0.07575757575757576,0.18181818181818182,0.15151515151515152,0.10606060606060606,0.06060606060606061,0.3181818181818182,0.5757575757575758,0.12121212121212122,0.3787878787878788,0.30303030303030304,0.36363636363636365,0.19696969696969696,0.25757575757575757,0.9393939393939394,0.3333333333333333,0.09090909090909091,0.4090909090909091,0.8484848484848485,0.2878787878787879,0.3939393939393939,0.9848484848484849,0.2727272727272727,0.9545454545454546,0.9090909090909091
k141_713558,0.3787878787878788,0.6212121212121212,0.3939393939393939,0.5303030303030303,0.7727272727272727,0.6060606060606061,0.7121212121212122,0.7575757575757576,0.7424242424242424,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.5,0.5757575757575758,0.48484848484848486,0.696969696969697,0.6818181818181818,0.803030303030303,0.8787878787878788,0.7878787878787878,0.9848484848484849,0.8939393939393939,0.9090909090909091,0.4090909090909091,0.7272727272727273,0.8484848484848485,0.9545454545454546,0.5909090909090909,0.8181818181818182,0.3484848484848485,0.24242424242424243,0.6515151515151515,0.4696969696969697,0.5606060606060606,0.10606060606060606,0.015151515151515152,0.09090909090909091,0.3333333333333333,0.25757575757575757,0.045454545454545456,0.16666666666666666,0.2727272727272727,0.21212121212121213,0.15151515151515152,0.0,0.12121212121212122,0.06060606060606061,0.13636363636363635,0.3181818181818182,0.4393939393939394,0.30303030303030304,0.2878787878787879,0.22727272727272727,0.07575757575757576,0.030303030303030304,0.9393939393939394,0.42424242424242425,0.18181818181818182,0.6666666666666666,0.8333333333333334,0.19696969696969696,0.36363636363636365,0.9696969696969697,0.5151515151515151,0.9242424242424242,0.8636363636363636
k141_384042,0.6212121212121212,0.7424242424242424,0.48484848484848486,0.5606060606060606,0.8181818181818182,0.6515151515151515,0.5909090909090909,0.8333333333333334,0.7575757575757576,0.6060606060606061,0.4696969696969697,0.7727272727272727,0.5,0.3787878787878788,0.4090909090909091,0.5454545454545454,0.7272727272727273,0.8484848484848485,0.8636363636363636,0.5151515151515151,0.9242424242424242,0.8787878787878788,0.8939393939393939,0.36363636363636365,0.696969696969697,0.6363636363636364,0.9696969696969697,0.5303030303030303,0.6818181818181818,0.24242424242424243,0.10606060606060606,0.803030303030303,0.7878787878787878,0.7121212121212122,0.13636363636363635,0.045454545454545456,0.07575757575757576,0.18181818181818182,0.16666666666666666,0.015151515151515152,0.45454545454545453,0.3333333333333333,0.0,0.12121212121212122,0.030303030303030304,0.22727272727272727,0.09090909090909091,0.30303030303030304,0.5757575757575758,0.2727272727272727,0.4393939393939394,0.25757575757575757,0.3939393939393939,0.19696969696969696,0.3181818181818182,0.9393939393939394,0.21212121212121213,0.06060606060606061,0.42424242424242425,0.6666666666666666,0.15151515151515152,0.3484848484848485,0.9848484848484849,0.2878787878787879,0.9545454545454546,0.9090909090909091
k141_240710,0.5757575757575758,0.6818181818181818,0.5606060606060606,0.6060606060606061,0.8484848484848485,0.5151515151515151,0.5,0.7424242424242424,0.7878787878787878,0.5454545454545454,0.5303030303030303,0.7727272727272727,0.3787878787878788,0.36363636363636365,0.45454545454545453,0.42424242424242425,0.8333333333333334,0.8787878787878788,0.8939393939393939,0.3484848484848485,0.7121212121212122,0.6363636363636364,0.6515151515151515,0.4696969696969697,0.803030303030303,0.4090909090909091,0.9545454545454546,0.7272727272727273,0.8636363636363636,0.25757575757575757,0.19696969696969696,0.9090909090909091,0.8181818181818182,0.7575757575757576,0.3181818181818182,0.13636363636363635,0.24242424242424243,0.10606060606060606,0.07575757575757576,0.06060606060606061,0.696969696969697,0.2727272727272727,0.045454545454545456,0.16666666666666666,0.12121212121212122,0.21212121212121213,0.22727272727272727,0.3939393939393939,0.6666666666666666,0.030303030303030304,0.5909090909090909,0.18181818181818182,0.4393939393939394,0.30303030303030304,0.3333333333333333,0.9393939393939394,0.015151515151515152,0.0,0.15151515151515152,0.6212121212121212,0.09090909090909091,0.48484848484848486,0.9848484848484849,0.2878787878787879,0.9696969696969697,0.9242424242424242
k141_436336,0.6666666666666666,0.6363636363636364,0.5151515151515151,0.3939393939393939,0.7575757575757576,0.6060606060606061,0.4696969696969697,0.8181818181818182,0.7424242424242424,0.45454545454545453,0.4090909090909091,0.6212121212121212,0.5909090909090909,0.42424242424242425,0.4393939393939394,0.6818181818181818,0.803030303030303,0.8484848484848485,0.8636363636363636,0.5757575757575758,0.9090909090909091,0.8787878787878788,0.8939393939393939,0.36363636363636365,0.696969696969697,0.7727272727272727,0.9545454545454546,0.5303030303030303,0.8333333333333334,0.2878787878787879,0.25757575757575757,0.7272727272727273,0.6515151515151515,0.7121212121212122,0.09090909090909091,0.030303030303030304,0.07575757575757576,0.015151515151515152,0.0,0.045454545454545456,0.5606060606060606,0.21212121212121213,0.12121212121212122,0.06060606060606061,0.10606060606060606,0.2727272727272727,0.19696969696969696,0.24242424242424243,0.5454545454545454,0.15151515151515152,0.3333333333333333,0.3181818181818182,0.3787878787878788,0.16666666666666666,0.18181818181818182,0.9393939393939394,0.3484848484848485,0.13636363636363635,0.5,0.7878787878787878,0.30303030303030304,0.48484848484848486,0.9696969696969697,0.22727272727272727,0.9848484848484849,0.9242424242424242
k141_397469,0.3787878787878788,0.6363636363636364,0.3939393939393939,0.3484848484848485,0.7272727272727273,0.7121212121212122,0.7575757575757576,0.8181818181818182,0.5151515151515151,0.6666666666666666,0.5303030303030303,0.6060606060606061,0.7727272727272727,0.8333333333333334,0.803030303030303,0.9242424242424242,0.5606060606060606,0.6515151515151515,0.8484848484848485,0.9090909090909091,0.9848484848484849,0.9545454545454546,0.9696969696969697,0.36363636363636365,0.6818181818181818,0.8939393939393939,0.7878787878787878,0.48484848484848486,0.2727272727272727,0.4696969696969697,0.15151515151515152,0.18181818181818182,0.24242424242424243,0.30303030303030304,0.13636363636363635,0.06060606060606061,0.09090909090909091,0.5454545454545454,0.45454545454545453,0.2878787878787879,0.030303030303030304,0.4393939393939394,0.5,0.42424242424242425,0.12121212121212122,0.21212121212121213,0.0,0.10606060606060606,0.015151515151515152,0.4090909090909091,0.19696969696969696,0.25757575757575757,0.16666666666666666,0.07575757575757576,0.22727272727272727,0.9393939393939394,0.7424242424242424,0.3181818181818182,0.5757575757575758,0.8636363636363636,0.696969696969697,0.045454545454545456,0.8787878787878788,0.5909090909090909,0.6212121212121212,0.3333333333333333
k141_670737,0.030303030303030304,0.15151515151515152,0.045454545454545456,0.5757575757575758,0.5606060606060606,0.24242424242424243,0.3484848484848485,0.7575757575757576,0.5454545454545454,0.4090909090909091,0.30303030303030304,0.36363636363636365,0.09090909090909091,0.07575757575757576,0.19696969696969696,0.21212121212121213,0.42424242424242425,0.7727272727272727,0.8181818181818182,0.18181818181818182,0.7272727272727273,0.6212121212121212,0.4696969696969697,0.25757575757575757,0.6363636363636364,0.22727272727272727,0.8787878787878788,0.6515151515151515,0.06060606060606061,0.45454545454545453,0.3787878787878788,0.48484848484848486,0.7878787878787878,0.3333333333333333,0.2878787878787879,0.16666666666666666,0.3939393939393939,0.8636363636363636,0.8333333333333334,0.3181818181818182,0.7424242424242424,0.4393939393939394,0.7121212121212122,0.12121212121212122,0.10606060606060606,0.6060606060606061,0.5909090909090909,0.13636363636363635,0.5,0.696969696969697,0.8939393939393939,0.8484848484848485,0.9545454545454546,0.6666666666666666,0.9090909090909091,0.9393939393939394,0.6818181818181818,0.5151515151515151,0.9696969696969697,0.0,0.015151515151515152,0.5303030303030303,0.9848484848484849,0.2727272727272727,0.803030303030303,0.9242424242424242
k141_378918,0.15151515151515152,0.2727272727272727,0.21212121212121213,0.3181818181818182,0.3484848484848485,0.16666666666666666,0.12121212121212122,0.18181818181818182,0.24242424242424243,0.25757575757575757,0.22727272727272727,0.36363636363636365,0.07575757575757576,0.06060606060606061,0.045454545454545456,0.09090909090909091,0.2878787878787879,0.30303030303030304,0.19696969696969696,0.13636363636363635,0.0,0.030303030303030304,0.015151515151515152,0.3787878787878788,0.6212121212121212,0.10606060606060606,0.7878787878787878,0.7575757575757576,0.8787878787878788,0.3333333333333333,0.5909090909090909,0.6818181818181818,0.9393939393939394,0.6666666666666666,0.4696969696969697,0.5757575757575758,0.7727272727272727,0.7424242424242424,0.7272727272727273,0.6363636363636364,0.9090909090909091,0.4393939393939394,0.803030303030303,0.696969696969697,0.5151515151515151,0.5303030303030303,0.7121212121212122,0.6060606060606061,0.8484848484848485,0.5,0.8333333333333334,0.5606060606060606,0.9242424242424242,0.6515151515151515,0.9696969696969697,0.8636363636363636,0.42424242424242425,0.48484848484848486,0.8181818181818182,0.3939393939393939,0.4090909090909091,0.5454545454545454,0.9848484848484849,0.45454545454545453,0.9545454545454546,0.8939393939393939
k141_560824,0.22727272727272727,0.16666666666666666,0.12121212121212122,0.18181818181818182,0.24242424242424243,0.13636363636363635,0.06060606060606061,0.15151515151515152,0.09090909090909091,0.21212121212121213,0.045454545454545456,0.07575757575757576,0.015151515151515152,0.030303030303030304,0.0,0.19696969696969696,0.10606060606060606,0.25757575757575757,0.30303030303030304,0.45454545454545453,0.3333333333333333,0.3181818181818182,0.3484848484848485,0.2878787878787879,0.42424242424242425,0.2727272727272727,0.9393939393939394,0.6363636363636364,0.8787878787878788,0.36363636363636365,0.5606060606060606,0.5151515151515151,0.7575757575757576,0.6515151515151515,0.6666666666666666,0.7121212121212122,0.8636363636363636,0.9090909090909091,0.7878787878787878,0.803030303030303,0.696969696969697,0.5454545454545454,0.9242424242424242,0.8484848484848485,0.5303030303030303,0.4696969696969697,0.7272727272727273,0.5,0.7727272727272727,0.5909090909090909,0.4090909090909091,0.48484848484848486,0.5757575757575758,0.3787878787878788,0.8181818181818182,0.9848484848484849,0.6212121212121212,0.6060606060606061,0.8333333333333334,0.7424242424242424,0.4393939393939394,0.3939393939393939,0.9545454545454546,0.6818181818181818,0.9696969696969697,0.8939393939393939
k141_36609,0.19696969696969696,0.18181818181818182,0.16666666666666666,0.3333333333333333,0.22727272727272727,0.12121212121212122,0.06060606060606061,0.07575757575757576,0.10606060606060606,0.15151515151515152,0.09090909090909091,0.21212121212121213,0.0,0.030303030303030304,0.015151515151515152,0.045454545454545456,0.2727272727272727,0.24242424242424243,0.2878787878787879,0.25757575757575757,0.4393939393939394,0.3484848484848485,0.30303030303030304,0.3787878787878788,0.5,0.13636363636363635,0.9545454545454546,0.696969696969697,0.8787878787878788,0.4696969696969697,0.6515151515151515,0.8484848484848485,0.8636363636363636,0.8333333333333334,0.5606060606060606,0.5454545454545454,0.7878787878787878,0.7424242424242424,0.6818181818181818,0.6666666666666666,0.8939393939393939,0.42424242424242425,0.5151515151515151,0.6212121212121212,0.4090909090909091,0.7272727272727273,0.7575757575757576,0.5303030303030303,0.9090909090909091,0.6060606060606061,0.6363636363636364,0.5909090909090909,0.803030303030303,0.36363636363636365,0.7121212121212122,0.9393939393939394,0.3939393939393939,0.5757575757575758,0.8181818181818182,0.48484848484848486,0.3181818181818182,0.7727272727272727,0.9696969696969697,0.45454545454545453,0.9848484848484849,0.9242424242424242
k141_245127,0.5151515151515151,0.5606060606060606,0.5303030303030303,0.45454545454545453,0.8181818181818182,0.6363636363636364,0.5454545454545454,0.8484848484848485,0.7878787878787878,0.5,0.4696969696969697,0.5909090909090909,0.6515151515151515,0.5757575757575758,0.3939393939393939,0.6666666666666666,0.7424242424242424,0.8333333333333334,0.8636363636363636,0.7121212121212122,0.9393939393939394,0.8787878787878788,0.8939393939393939,0.36363636363636365,0.696969696969697,0.7727272727272727,0.9696969696969697,0.803030303030303,0.7575757575757576,0.30303030303030304,0.22727272727272727,0.6060606060606061,0.6818181818181818,0.42424242424242425,0.06060606060606061,0.015151515151515152,0.09090909090909091,0.19696969696969696,0.12121212121212122,0.030303030303030304,0.48484848484848486,0.21212121212121213,0.10606060606060606,0.07575757575757576,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.0,0.3787878787878788,0.18181818181818182,0.3181818181818182,0.2878787878787879,0.4393939393939394,0.15151515151515152,0.25757575757575757,0.9545454545454546,0.4090909090909091,0.24242424242424243,0.7272727272727273,0.6212121212121212,0.16666666666666666,0.3484848484848485,0.9848484848484849,0.3333333333333333,0.9242424242424242,0.9090909090909091
k141_25538,0.30303030303030304,0.4393939393939394,0.2727272727272727,0.22727272727272727,0.48484848484848486,0.8636363636363636,0.803030303030303,0.7121212121212122,0.3484848484848485,0.7575757575757576,0.6060606060606061,0.36363636363636365,0.5454545454545454,0.7424242424242424,0.5303030303030303,0.8939393939393939,0.2878787878787879,0.42424242424242425,0.5151515151515151,0.9393939393939394,0.9848484848484849,0.9696969696969697,0.9545454545454546,0.19696969696969696,0.6666666666666666,0.8787878787878788,0.7272727272727273,0.696969696969697,0.6515151515151515,0.4696969696969697,0.15151515151515152,0.3333333333333333,0.3787878787878788,0.5,0.18181818181818182,0.12121212121212122,0.25757575757575757,0.8484848484848485,0.5909090909090909,0.4090909090909091,0.07575757575757576,0.6212121212121212,0.7878787878787878,0.6363636363636364,0.10606060606060606,0.24242424242424243,0.030303030303030304,0.13636363636363635,0.045454545454545456,0.5757575757575758,0.16666666666666666,0.21212121212121213,0.015151515151515152,0.0,0.09090909090909091,0.9242424242424242,0.6818181818181818,0.3939393939393939,0.45454545454545453,0.9090909090909091,0.5606060606060606,0.06060606060606061,0.8181818181818182,0.7727272727272727,0.8333333333333334,0.3181818181818182
